2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000, -1.158237320711212E+08,  9.346522033929855E+07,  5.870546160366386E+04, -1.625223992609505E+01, -1.859769117559660E+01,  8.087879981548509E-01,  4.964492574196083E+02,  1.488317431540991E+08,  9.689146713124906E-01,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000, -1.172128086915696E+08,  9.184001130150609E+07,  1.278584414469525E+05, -1.588897983720616E+01, -1.900217932308318E+01,  7.952410121211440E-01,  4.967019885324138E+02,  1.489075100356202E+08,  7.879607175337628E-01,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000, -1.185683658368788E+08,  9.018319259909174E+07,  1.963460279414095E+05, -1.548686205352661E+01, -1.934567142385698E+01,  7.906488245243137E-01,  4.969041994538088E+02,  1.489681313447796E+08,  6.159220336543970E-01,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000, -1.198886105082207E+08,  8.849759811353672E+07,  2.645321735679172E+05, -1.507295378138470E+01, -1.967051736376472E+01,  7.878868002791295E-01,  4.970572185330554E+02,  1.490140053106678E+08,  4.462021273116467E-01,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000, -1.211727713744150E+08,  8.678443230730124E+07,  3.325162570667639E+05, -1.465197343079331E+01, -1.998452649286881E+01,  7.858693794187142E-01,  4.971614645851572E+02,  1.490452574908642E+08,  2.773369320174534E-01,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000, -1.224203086572683E+08,  8.504452999066111E+07,  4.003265492163450E+05, -1.422533381096551E+01, -2.028965685979025E+01,  7.838205850934443E-01,  4.972171378273283E+02,  1.490619479089795E+08,  1.090768569479680E-01,
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000, -1.236307654481437E+08,  8.327859890436973E+07,  4.679598594596460E+05, -1.379369824491929E+01, -2.058715715379724E+01,  7.817537487346264E-01,  4.972243642995022E+02,  1.490641143508352E+08, -5.888943476474370E-02,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000, -1.248037248587060E+08,  8.148727442202152E+07,  5.354106423276812E+05, -1.335737595944146E+01, -2.087752587385319E+01,  7.795854359693957E-01,  4.971832120992940E+02,  1.490517772315827E+08, -2.266662521412950E-01,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000, -1.259387900339435E+08,  7.967115996507001E+07,  6.026679621730410E+05, -1.291653836168847E+01, -2.116103232512739E+01,  7.772695901107269E-01,  4.970937266640753E+02,  1.490249501730033E+08, -3.943121145488279E-01,
2458899.500000000, A.D. 2020-Feb-20 00:00:00.0000, -1.270355756240839E+08,  7.783084116710503E+07,  6.697177679986134E+05, -1.247128763712492E+01, -2.143783087554298E+01,  7.747782968714629E-01,  4.969559402205541E+02,  1.489836428364210E+08, -5.618625085318565E-01,
2458900.500000000, A.D. 2020-Feb-21 00:00:00.0000, -1.280937032648093E+08,  7.596689334723324E+07,  7.365440812958889E+05, -1.202168687272132E+01, -2.170801178936470E+01,  7.720937838519975E-01,  4.967698767021307E+02,  1.489278623968887E+08, -7.293406519873609E-01,
2458901.500000000, A.D. 2020-Feb-22 00:00:00.0000, -1.291128050171277E+08,  7.407989977085441E+07,  8.031407595470622E+05, -1.156787327738581E+01, -2.197139917796912E+01,  7.693820481087394E-01,  4.965355953862721E+02,  1.488576266253440E+08, -8.965651471579166E-01,
2458902.500000000, A.D. 2020-Feb-23 00:00:00.0000, -1.300925062161235E+08,  7.217041817657943E+07,  8.694828865425363E+05, -1.110968313527848E+01, -2.222847495992091E+01,  7.662791514380221E-01,  4.962530860724761E+02,  1.487729324637532E+08, -1.063940474385779E+00,
2458903.500000000, A.D. 2020-Feb-24 00:00:00.0000, -1.310324354085285E+08,  7.023900736023431E+07,  9.355474601981491E+05, -1.064722697874276E+01, -2.247902036126926E+01,  7.629562763434636E-01,  4.959223453923754E+02,  1.486737789023052E+08, -1.231274369824884E+00,
2458904.500000000, A.D. 2020-Feb-25 00:00:00.0000, -1.319322243737918E+08,  6.828623164583692E+07,  1.001315232154571E+06, -1.018051247689977E+01, -2.272303119426146E+01,  7.594080998111377E-01,  4.955433844421069E+02,  1.485601692675382E+08, -1.398572104562259E+00,
2458905.500000000, A.D. 2020-Feb-26 00:00:00.0000, -1.327915054895912E+08,  6.631265616388185E+07,  1.066766594683383E+06, -9.709545131130731E+00, -2.296049327594926E+01,  7.556312771581899E-01,  4.951162135768311E+02,  1.484321066638512E+08, -1.565834396604956E+00,
2458906.500000000, A.D. 2020-Feb-27 00:00:00.0000, -1.336099112308953E+08,  6.431884766772771E+07,  1.131881621905487E+06, -9.234322769108672E+00, -2.319138354831919E+01,  7.516220231097481E-01,  4.946408426313025E+02,  1.482895940396294E+08, -1.733063433749008E+00,
2458907.500000000, A.D. 2020-Feb-28 00:00:00.0000, -1.343870737909357E+08,  6.230537521876911E+07,  1.196640097647659E+06, -8.754840844034467E+00, -2.341567174796507E+01,  7.473772847014795E-01,  4.941172811395704E+02,  1.481326342531088E+08, -1.900259396004663E+00,
2458908.500000000, A.D. 2020-Feb-29 00:00:00.0000, -1.351226248385707E+08,  6.027281078642517E+07,  1.261021553845305E+06, -8.271091852338706E+00, -2.363332093651919E+01,  7.428942629223130E-01,  4.935455387203671E+02,  1.479612301879130E+08, -2.067421537564210E+00,
2458909.500000000, A.D. 2020-Mar-01 00:00:00.0000, -1.358161952837473E+08,  5.822172980080651E+07,  1.325005287600528E+06, -7.783065778793696E+00, -2.384428798574917E+01,  7.381703112237084E-01,  4.929256253304889E+02,  1.477753848290143E+08, -2.234548274034706E+00,
